,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1,S_DC1,s_DC2,S_DC2,s_r1,S_r1,profit
134,3489,3322,5181,2884,3139,4760,9967,8497,4890,4780,17428,1011,12026,31827,14593,37129,14853,43753,41362835
135,7717,2853,1903,6819,2375,2780,23942,6470,5452,6404,4264,6940,21360,35312,24957,34347,19819,35214,40742076
136,7939,26759,17733,4646,599,1756,5758,4249,7234,18344,11165,9646,21037,49508,33383,54562,34496,58171,53264785
137,9843,21824,2168,6876,8814,9867,4480,10606,7317,15697,10063,8356,28177,60982,29942,75986,33624,75069,48569882
138,18008,7476,16644,10634,8690,11091,7498,11490,7214,3596,15660,11069,30419,79078,36253,77359,32798,81706,63355810
139,6313,7553,20426,5185,10471,14492,6332,17315,9787,9436,1738,5670,22008,59244,23994,53654,22292,52122,63704931
140,7189,2895,1813,2686,1495,3894,14694,1574,2030,2982,9139,3042,13708,34876,10587,26691,15580,23153,21113181
141,2147,1326,1079,2911,2145,2029,2986,10272,5629,7329,2819,18363,18136,25347,16251,31233,15330,31395,34175629
142,3161,2368,3047,6398,1045,3519,2281,5951,2372,1431,3125,4317,10210,17941,8102,19873,11555,21281,19967047
143,9700,7413,9168,7551,5804,5897,1141,2427,2747,2263,1441,3278,16217,25467,17030,28546,10953,28262,16211965
144,5671,3172,12479,3940,7766,7719,771,1516,2192,1808,3366,2233,16150,28278,12379,27483,13437,28972,28811000
145,691,739,2372,288,2158,2007,1687,2987,299,897,4175,1447,5657,8846,4042,10669,4134,8931,10248361
146,2113,1200,1785,1273,1455,2738,295,665,1369,883,2313,1361,4963,9784,4220,10938,5629,9092,7626804
147,1718,1049,1517,2268,579,2800,1982,921,1853,583,2033,886,5259,12069,3408,11861,5157,10523,10209495
148,1193,2437,2838,1686,2914,3122,538,446,1958,2669,1495,2329,7170,12791,6085,14204,5517,9870,10035739
149,1353,396,1170,285,2094,2049,2014,75,1493,1133,288,600,3303,6114,2652,6904,4095,8288,7099975
150,690,2746,22744,1354,1315,2724,5704,2524,1773,24070,1411,670,18513,40393,14796,28628,17706,37910,37751128
151,4013,5482,9598,1951,10144,4357,9001,1862,6102,4416,3684,2613,17527,35824,16241,39672,13666,32059,24444414
152,350,3898,6292,2224,1466,5696,3497,5304,6302,1022,1514,6208,8968,28264,8679,23904,10249,25937,28766228
153,4213,4594,14426,5785,11153,11259,2907,9220,4983,6800,2322,10615,15375,46206,23214,38688,15125,50666,30442969
154,2046,4705,4980,6936,2785,1969,3927,3999,10988,4146,2481,7697,17124,26211,17463,33843,17305,31985,29480630
155,11670,5730,4080,3050,7870,5220,10530,8050,2800,6460,7500,6130,21533,51077,22000,46576,21813,41260,26905683
156,1640,7060,2620,3880,10190,10120,2460,4300,2910,9950,7560,5870,11429,41001,18869,28603,14180,31590,36213741
157,4470,14340,3250,5310,6920,8180,8100,1830,7310,12730,5450,2910,17099,44199,13773,45913,16012,37375,26981713
158,10260,4470,9990,4210,25480,4020,2890,3940,9310,3060,3630,8170,15992,57036,26597,40963,21292,58114,48521192
159,2230,5060,1060,4070,6500,4120,7040,6090,5560,5170,880,2390,9347,24036,15693,24177,16194,26618,19232179
160,4810,7480,7530,2480,10400,13900,8640,3730,8520,7000,6150,9110,26645,41065,15599,53419,27321,58721,56208462
161,5910,13560,7730,9080,7230,6070,13670,6620,5100,15710,6280,4740,30217,52674,20040,52812,28702,51265,38251756
162,5680,7730,4920,4450,10560,18990,9350,9520,12040,7930,9450,8240,30871,47271,28993,56587,32819,61437,68654910
163,6194,10420,11480,4210,4520,6020,9800,7214,10720,5780,5740,25510,28877,52444,30709,68498,23500,58377,47868744
164,3380,8230,6460,6640,1630,12780,5010,2540,7350,3780,8340,4130,19125,44409,13750,35997,19154,37574,34181742
165,1209,2732,1463,1699,2016,2611,3140,1500,1477,1580,903,1181,6742,10491,5888,9120,6041,11699,6600593
166,1860,2313,2483,1140,1291,1275,1460,2347,985,2469,2570,649,6124,12365,5533,12397,6847,11199,11851032
167,2975,2160,1474,531,2090,1481,1573,1067,1346,1132,1534,1016,4012,11275,3650,8673,3669,9937,5408773
168,2337,1145,619,1695,1026,2686,1958,1087,2561,1801,909,2630,4849,12237,5167,11997,5792,12521,11253054
169,2445,1736,755,2324,1068,3282,2513,2139,2911,1248,2099,884,6092,13552,4189,13116,5634,11996,13976979
170,222,916,95,177,227,499,594,372,343,491,344,1109,1232,3355,1335,3187,1712,3449,2812103
171,522,284,247,138,192,85,221,298,568,187,254,171,897,1877,993,1908,528,1700,1417065
172,466,184,465,84,189,118,168,53,35,556,66,90,637,1163,480,1126,763,1315,924280
173,468,148,186,344,16,186,103,42,101,75,92,78,327,877,550,848,610,881,396261
174,75,316,114,7,45,448,204,61,33,144,161,34,446,823,466,1012,326,737,598237
175,157,93,224,237,205,160,357,108,114,360,179,77,420,1051,504,1062,385,1041,1220181
176,247,37,231,194,253,295,234,149,177,140,144,283,428,1236,653,1499,554,1016,1448497
177,154,306,134,241,121,261,461,198,188,51,227,132,500,1414,610,1176,520,1139,1380210
178,193,138,320,168,160,152,62,127,258,282,299,214,562,1102,601,1479,502,1153,1125112
179,95,226,199,90,72,58,140,40,113,88,109,76,398,727,327,586,328,690,694144
180,784,1319,839,504,765,1506,1862,1202,644,680,699,1050,3931,7166,2627,7250,2163,7894,6443096
181,953,560,1077,723,1112,641,656,523,636,1387,1068,1576,2182,5855,3080,7064,2735,6262,6322305
182,1076,663,855,1058,1486,1269,1462,629,346,978,870,383,3282,6938,3257,6571,2571,6562,4306737
183,1555,594,768,800,1171,1167,846,583,677,1038,499,1397,3558,6064,2466,4983,2398,4733,4557917
184,455,152,374,552,524,1271,484,495,808,836,349,165,1816,3243,1521,4008,1167,2708,3515188
185,139,178,173,169,122,338,98,249,157,183,237,114,474,1401,385,1038,704,1210,1229702
186,141,421,81,116,279,55,72,115,243,589,305,84,534,1370,714,1159,808,1392,1363438
187,331,306,193,51,357,352,142,64,62,266,86,156,569,1391,700,1403,686,1299,730877
188,142,495,152,308,173,448,111,265,231,370,175,430,919,1495,867,1804,912,1551,1522829
189,238,64,309,171,104,383,185,108,203,103,237,46,479,1002,703,1290,367,1355,892137
190,2195,2823,4168,3333,3263,3350,3272,5520,3374,4558,2666,3068,7210,27153,12883,22149,13787,23236,22281762
191,4533,4251,3722,4129,1413,2052,4837,1744,2006,4857,3816,3866,12850,18833,11809,17907,11937,25101,11999186
192,3311,4205,3375,4895,1929,4280,3950,3875,4051,4452,3930,4598,7929,22882,14140,28740,10552,19635,12826587
193,3337,5186,2884,3724,3727,4457,2999,3557,7130,3824,2435,4698,9288,28155,15476,24224,8555,22362,22934682
194,4638,3672,6936,3002,834,2504,4489,3379,6357,3290,3641,2761,11599,23856,13883,26134,14802,23467,24840797
195,550,1542,949,622,692,1074,903,964,552,564,415,623,2468,5175,1604,4974,2145,6046,3018727
196,729,873,1114,1412,919,534,757,660,889,2082,1179,1037,2180,7695,3233,8021,2490,7389,6988857
197,401,978,1675,961,602,1374,340,288,429,799,1231,507,2779,4674,2197,4972,2146,6334,4312278
