,RL_no_season,RL_no_season_24,RL_poisson_no_season,RL_no_season_poisson_lead_time,RL_poisson_no_season_poisson_lead_time
278,100049.6666666667,23298.000000000004,100275.3333333333,101172.33333333331,96410.6666666667
279,85848.33333333336,22738.333333333336,102891.00000000003,98034.00000000001,92430.00000000001
280,106328.0,22817.33333333334,97873.33333333328,104193.00000000003,104218.66666666667
281,97551.66666666667,23333.66666666667,108764.33333333336,102232.33333333334,101696.33333333339
282,105395.99999999997,22791.333333333343,94435.33333333336,97219.33333333336,95762.99999999999
283,100956.6666666667,22771.66666666667,104691.33333333333,98312.33333333334,96880.33333333333
284,105737.6666666667,24121.333333333336,102706.00000000001,100143.33333333336,98400.33333333334
285,106569.00000000003,23435.66666666667,115772.00000000004,101482.6666666667,82643.0
286,111007.00000000004,22215.000000000007,101285.33333333333,99255.33333333337,99751.66666666673
287,108384.00000000003,22998.999999999996,104622.6666666667,98898.66666666663,104685.0
288,104335.33333333334,23882.000000000007,107731.66666666666,100675.0,75960.00000000003
289,101888.33333333336,22596.333333333343,94898.00000000003,97947.00000000003,96244.00000000004
290,101728.00000000001,22673.000000000004,100715.33333333334,100368.66666666667,104432.66666666667
291,103898.66666666667,22640.333333333336,105246.66666666666,102708.0,94620.0
292,105189.66666666666,19851.666666666664,100927.6666666667,81890.0,101951.33333333336
293,105428.0,22840.0,99849.33333333337,99483.33333333336,100031.6666666667
294,106964.3333333333,21119.66666666668,101493.33333333334,100111.00000000006,95019.00000000001
295,106028.66666666669,24361.333333333336,95173.00000000001,102818.33333333334,105152.33333333331
296,101569.33333333333,23718.66666666667,110012.33333333334,93977.33333333337,87706.66666666667
297,105197.00000000004,21293.66666666667,90792.0,109509.33333333339,83858.33333333336
298,109424.33333333336,25451.000000000007,106474.66666666666,109216.66666666672,100347.99999999997
299,106660.00000000004,21321.000000000004,95879.00000000003,108845.0,94097.3333333333
300,104715.3333333334,24230.66666666667,104079.33333333333,107792.66666666674,92779.00000000006
301,109052.6666666667,21242.66666666667,96984.99999999999,84941.00000000003,88713.00000000001
302,106424.66666666669,21637.33333333334,88226.00000000003,102079.33333333337,84858.33333333336
303,103461.66666666667,22768.0,106767.00000000004,106600.0,90002.66666666666
304,109781.66666666667,22059.000000000007,100385.33333333339,97430.00000000004,98583.33333333334
305,103886.33333333336,23478.000000000007,109157.33333333331,100426.66666666664,98340.33333333333
